DebugButtonBase,Debug
DebugButtonReset,RESET
DebugButtonNight,Day and night
DebugButtonEscape,ESCAPE
DebugButtonSkip,SKIP
DebugButtonFLICK,Hook reversal
DebugButtonPAD,Pseudocon
DebugButtonBgm,BGM change
DebugButtonCameraB,Tracking camera
DebugButtonTop,TOP
DebugButtonHp,recovery
DebugButtonBaSt,Battle A
VoiceofCards,Voice of Cards: The Isle Dragon Roars
MoveImpossible,Cannot move to that location
OpenImpossible,The prone card that is not adjacent to the piece does not turn over
UpperLimitItem,"Looks like you're over
your item limit. You'll
need to use or discard
{1}.
({2}/{3} in possession)"
UpperLimitEquip,"Looks like you're over
your equipment limit.
Sorry, but you'll need
to discard {1}. 
({2}/{3} in possession)"
RemainingSteps,"Remaining
Moves"
Impossible,"Restricted
Actions"
Jump,Jump
EscapeItemUse,"Ring
Bellwether"
CameraLimit,"Camera
Fixed"
Status,status
BadStatus,No Ailments
BuffStatus,No Buffs
None,None
GameOver,Game Over
BattleResult,Results
Exp,EXP
ExpStatus,EXP
Gold,Gold
LevelUp,Level Up
CharacterLevelUp,"{0} 
leveled up!"
SkillGet,Skill Acquired
SkillAcquire,Learned {0}!
PassiveSkillAcquire,Acquired {0}!
ItemFound,Treasure discovered!
PleaseSelect,Please Pick One
Miss,miss
MapName1,Isle of Bliss
MapName2,Castle Advent Royal Hall
MapName3,Advent
MapName4,Nexton
MapName5,Thriceton
MapName6,Dank Cave
MapName7,Western Cave Level 1
MapName8,Western Cave Level 2
MapName9,Isle of Bliss
MapName10,Isle of Blight
MapName11,Woodland
MapName13,Unionville
MapName14,Shoreland
MapName15,Village of the Sick
MapName16,Bewildering Wood
MapName17,Bewildering Wood Shortcut
MapName18,Nameless Shrine
MapName19,Musty Tower First Floor
MapName20,Musty Tower Second Floor
MapName21,Musty Tower Third Floor
MapName22,Musty Tower Fourth Floor
MapName23,Musty Tower Fifth Floor
MapName24,Musty Tower Roof
MapName25,Volcano Entrance
MapName26,Volcano Third Floor
MapName27,Volcano Caldera
MapName28,Volcano First Floor
MapName29,Volcano Second Floor
MapName30,Volcano Fourth Floor
MapName31,Mausoleum Entrance
MapName44,Mausoleum Level 1
MapName46,Mausoleum Level 2
MapName47,Mausoleum Level 3
MapName48,Mausoleum Depths
MapName49,Woodland Ridis's House
MapName50,"<size=""3.9"">Unionville Headman's Home"
MapName51,Unionville Inn
MapName53,Volcano Escape Route
MapName54,Barren Harbor
MapName55,Village of the Sick
MapName57,Vexing Cave
MapName9998,Isle of Bliss
MapName9999,Isle of Bliss
Formation,Set Up
Skill,Skills
Specific,Abilities
Equipment,Equipment
Party,Party
PlayerCard,Owned Cards
Item,Items
Important,Key Items
Collection,Collection
Character,Characters
Monster,Monsters
Ending,Ending
DataTop,Data
Save,Save 
SaveTitle,Save
Load,Load
Movie,Movies
GoEquipment,Equipment
ChangeMainParty,Switch to Main Party
ChangeSubParty,Switch to Reserve
SkillSpecific,Skills
CurrentGold,Purse
Page,page
CurrentEquipment,Current Gear
EquipableItems,Equipment
CurrentParty,Main Party
ChangeParty,In Reserve
CollectedCards,Cards
CurrentSkills,Current Skills
EquipableSkills,Skills
AutoSave,Autosave
Yes,Yes
No,No
Use,Use
Inspect,Inspect
Throw,Discard
DontThrow,Keep
ConsumeQuestion,On whom will you use it?
ThrowQuestion,Are you sure you want to discard this?
EscapeQuestion,Flee the dungeon?
LoadThisData,Load data?
SaveThisData,Overwrite data?
CollectionBackNotOpen,This story is locked.
SaveNewData,Save?
EquipmentNoCharacter,No current party members can equip this.
StatusLevel,LV
StatusHP,HP
StatusCondition,Status
StatusAttack,ATK
StatusDefense,DEF
StatusSpeed,SPD
StatusNextLevelExp,Next LV
BadStateNone,Hale
BadStatePoison,Poison
BadStateVeryPoison,Deadly Poison
BadStateParalysis,Paralysis
BadStateFreezing,Freeze
BadStateCurse,Curse
BadStateSeal,Seal
BadStateSyncope,Unconscious
BadStateDead,Incapacitated
BadStateProhibitedSpell,Silenced
BadStateAtkDown,ATK ↓
BadStateDefDown,DEF ↓
BadStateSpdDown,Speed ​​down
BadStateRedWeak,Fire Res.
BadStateBlueWeak,Water Res.
BadStateYellowWeak,Bolt Res.
BadStateGreenWeak,Wind Res.
BadStateWhiteWeak,Light Res.
BadStatePurpleWeak,Dark Res.
GameSetting,Game Settings
ComponentSetting,Customize
LanguageSetting,Language
SoundSetting,Sound
OtherSetting,Other
TextSetting,Text
ShadowSetting,Shadows
OperateSetting,Set Confirm
CursorkeysSetting,Set Direction
ScreenSizeSetting,Screen Size
FullScreenSetting,Full Screen
PlayerPawnSetting,Avatar
CardFrontSSetting,Card Face
CardBackSetting,Card Back
PlayMatSetting,Play mat
TableSetting,Table
TraySetting,Battle Board
DiceSetting,Dice
TextLanguage,Text Language
VoiceLanguage,Voice Language
SoundBGMSetting,BGM
SoundSESetting,Sound Effects
SoundVoice,Voices
VoiceTelopSetting,Subtitles
BGMSetting,BGM
ViewCredit,Credits
ViewLicense,License
DataInitialization,Reset Data
BackToTitleUp,Title Screen
ExitGameUp,Quit Game
QuestionTitle,???
GameSettingHighlight,"Emphasize important text in red, or underline it?"
GameSettingShadow,Turning some shadows off can help improve performance.
GameSettingOperate,Select Confirm and Cancel controls.
GameCursorkeysSetting,Set the directional keys.
GameSettingFullScreen,Turn on Full Screen?
GameSettingScreenSize,Select screen resolution.
ComponentSettingPlayerPawn,Select your avatar design.
ComponentSettingFrontImage,Select card face appearance.
ComponentsettingBackImage,Select card back appearance.
ComponentSettingTray,Select battle board appearance.
ComponentSettingTable,Select table appearance.
ComponentSettingDice,Select dice appearance.
ComponentSettingBGM,Select BGM.
ComponentSettingTitle,Implement customization?
ComponentSettingTitleDo,Appearance changed.
ComponentTitle,Customization
ComponentSettingMenu,"Customization components
can only be changed in
Options in the title
screen menu."
LanguageSettingText,Select text language.
LanguageSettingVoice,Select voice-over language.
SoundSettingBGM,Adjust music volume.
SoundSettingSE,Adjust sound effect volume.
